Line_no:1:	https://rfam.org/family/RF00005#tabview=tab6
6AHD	I	U4 spliceosomal RNA
6AH0	I	U4 spliceosomal RNA
6QW6	4	U4 spliceosomal RNA
5ZWM	I	U4 spliceosomal RNA
5GAN	V	U4 spliceosomal RNA
5O9Z	4	U4 spliceosomal RNA
3JCM	E	U4 spliceosomal RNA
3JCR	M	U4 spliceosomal RNA
Line_no:21:	https://rfam.org/family/RF00380#tabview=tab6
3PDR	X	M-box riboswitch (ykoK leader)
2QBZ	X	M-box riboswitch (ykoK leader)
3PDR	A	M-box riboswitch (ykoK leader)
Line_no:22:	https://rfam.org/family/RF01051#tabview=tab6
3IWN	B	Cyclic di-GMP-I riboswitch
3MUT	R	Cyclic di-GMP-I riboswitch
4YB1	R	Cyclic di-GMP-I riboswitch
4YAZ	A	Cyclic di-GMP-I riboswitch
4YB0	R	Cyclic di-GMP-I riboswitch
3IRW	R	Cyclic di-GMP-I riboswitch
3MUV	R	Cyclic di-GMP-I riboswitch
3MXH	R	Cyclic di-GMP-I riboswitch
3UD3	R	Cyclic di-GMP-I riboswitch
3MUM	R	Cyclic di-GMP-I riboswitch
3UCU	R	Cyclic di-GMP-I riboswitch
4YAZ	R	Cyclic di-GMP-I riboswitch
3IWN	A	Cyclic di-GMP-I riboswitch
4YB0	A	Cyclic di-GMP-I riboswitch
3UD4	R	Cyclic di-GMP-I riboswitch
3MUR	R	Cyclic di-GMP-I riboswitch
3UCZ	R	Cyclic di-GMP-I riboswitch
Line_no:23:	https://rfam.org/family/RF02678#tabview=tab6
6JQ6	U	Hatchet ribozyme
6JQ5	A	Hatchet ribozyme
6JQ5	B	Hatchet ribozyme
Line_no:24:	https://rfam.org/family/RF00013#tabview=tab6
5VT0	R	6S / SsrS RNA
Line_no:25:	https://rfam.org/family/RF01689#tabview=tab6
4FRG	B	AdoCbl variant RNA
4FRN	A	AdoCbl variant RNA
4FRG	X	AdoCbl variant RNA
4FRN	B	AdoCbl variant RNA
Line_no:26:	https://rfam.org/family/RF00050#tabview=tab6
6WJS	X	FMN riboswitch (RFN element)
3F2W	X	FMN riboswitch (RFN element)
3F2Y	X	FMN riboswitch (RFN element)
3F2T	X	FMN riboswitch (RFN element)
3F2X	X	FMN riboswitch (RFN element)
3F30	X	FMN riboswitch (RFN element)
3F2Q	X	FMN riboswitch (RFN element)
6WJR	X	FMN riboswitch (RFN element)
Line_no:27:	https://rfam.org/family/RF00480#tabview=tab6
2L94	A	HIV Ribosomal frameshift signal
6VWL	4	HIV Ribosomal frameshift signal
1Z2J	A	HIV Ribosomal frameshift signal
6VWN	4	HIV Ribosomal frameshift signal
6VWM	4	HIV Ribosomal frameshift signal
Line_no:28:	https://rfam.org/family/RF02033#tabview=tab6
8DMB	W	HNH endonuclease-associated RNA and ORF (HEARO) RNA
Line_no:29:	https://rfam.org/family/RF00167#tabview=tab6
2XNZ	A	Purine riboswitch
2EET	A	Purine riboswitch
5UZA	X	Purine riboswitch
2EEW	A	Purine riboswitch
5E54	A	Purine riboswitch
3RKF	B	Purine riboswitch
3RKF	C	Purine riboswitch
6UC7	B	Purine riboswitch
4XNR	X	Purine riboswitch
4LX5	A	Purine riboswitch
6VWT	A	Purine riboswitch
2EEV	A	Purine riboswitch
4FEN	B	Purine riboswitch
4TZY	X	Purine riboswitch
2EES	A	Purine riboswitch
5C7W	C	Purine riboswitch
6VWV	A	Purine riboswitch
3RKF	D	Purine riboswitch
6UBU	B	Purine riboswitch
2EEU	A	Purine riboswitch
2XO0	A	Purine riboswitch
3IVN	A	Purine riboswitch
3IVN	B	Purine riboswitch
6VWV	B	Purine riboswitch
2G9C	A	Purine riboswitch
3GOT	A	Purine riboswitch
5E54	B	Purine riboswitch
2B57	A	Purine riboswitch
6P2H	A	Purine riboswitch
5SWE	X	Purine riboswitch
5SWD	B	Purine riboswitch
6UC8	B	Purine riboswitch
4FEJ	B	Purine riboswitch
4FEO	B	Purine riboswitch
1Y26	X	Purine riboswitch
2XO1	A	Purine riboswitch
4FEP	B	Purine riboswitch
6UC9	B	Purine riboswitch
3FO4	A	Purine riboswitch
3G4M	A	Purine riboswitch
5SWD	A	Purine riboswitch
6VWT	B	Purine riboswitch
3LA5	A	Purine riboswitch
3GAO	A	Purine riboswitch
5C7U	B	Purine riboswitch
3DS7	B	Purine riboswitch
3FO6	A	Purine riboswitch
1Y27	X	Purine riboswitch
4LX6	A	Purine riboswitch
4FEL	B	Purine riboswitch
3RKF	A	Purine riboswitch
4TZX	X	Purine riboswitch
3GOG	A	Purine riboswitch
2XNW	A	Purine riboswitch
3DS7	A	Purine riboswitch
3GES	A	Purine riboswitch
4FE5	B	Purine riboswitch
3GER	A	Purine riboswitch
Line_no:30:	https://rfam.org/family/RF00375#tabview=tab6
6WB1	C	HIV primer binding site (PBS)
6WAZ	C	HIV primer binding site (PBS)
6WB0	C	HIV primer binding site (PBS)
6WB2	C	HIV primer binding site (PBS)
6B19	C	HIV primer binding site (PBS)
7LVA	A	HIV primer binding site (PBS)
Line_no:31:	https://rfam.org/family/RF00026#tabview=tab6
6AHD	F	U6 spliceosomal RNA
7W59	F	U6 spliceosomal RNA
5MQ0	6	U6 spliceosomal RNA
6J6G	E	U6 spliceosomal RNA
6ICZ	F	U6 spliceosomal RNA
5ZWM	F	U6 spliceosomal RNA
5LJ3	V	U6 spliceosomal RNA
6AH0	F	U6 spliceosomal RNA
6J6N	E	U6 spliceosomal RNA
5GAN	W	U6 spliceosomal RNA
6ID0	F	U6 spliceosomal RNA
5MPS	6	U6 spliceosomal RNA
5TF6	D	U6 spliceosomal RNA
3JCR	N	U6 spliceosomal RNA
5VSU	I	U6 spliceosomal RNA
5WSG	E	U6 spliceosomal RNA
6J6Q	E	U6 spliceosomal RNA
6ZYM	6	U6 spliceosomal RNA
5YZG	F	U6 spliceosomal RNA
6ID1	F	U6 spliceosomal RNA
5MQF	6	U6 spliceosomal RNA
5GM6	E	U6 spliceosomal RNA
5XJC	F	U6 spliceosomal RNA
5NRL	6	U6 spliceosomal RNA
5TF6	B	U6 spliceosomal RNA
6J6H	E	U6 spliceosomal RNA
6QDV	6	U6 spliceosomal RNA
6QX9	6	U6 spliceosomal RNA
2LKR	A	U6 spliceosomal RNA
7A5P	6	U6 spliceosomal RNA
5O9Z	6	U6 spliceosomal RNA
5LJ5	V	U6 spliceosomal RNA
7ABF	6	U6 spliceosomal RNA
5GMK	E	U6 spliceosomal RNA
4N0T	B	U6 spliceosomal RNA
6ASO	I	U6 spliceosomal RNA
3JB9	N	U6 spliceosomal RNA
6QW6	6	U6 spliceosomal RNA
6FF4	6	U6 spliceosomal RNA
7W5B	F	U6 spliceosomal RNA
7W5A	F	U6 spliceosomal RNA
5Z56	F	U6 spliceosomal RNA
5Y88	D	U6 spliceosomal RNA
7ABI	6	U6 spliceosomal RNA
7AAV	6	U6 spliceosomal RNA
7ABG	6	U6 spliceosomal RNA
7DCO	F	U6 spliceosomal RNA
3JCM	D	U6 spliceosomal RNA
5YLZ	D	U6 spliceosomal RNA
6EXN	6	U6 spliceosomal RNA
5LQW	6	U6 spliceosomal RNA
5ZWO	F	U6 spliceosomal RNA
6BK8	6	U6 spliceosomal RNA
6FF7	6	U6 spliceosomal RNA
5GAP	W	U6 spliceosomal RNA
5Z57	F	U6 spliceosomal RNA
5Z58	F	U6 spliceosomal RNA
7B9V	6	U6 spliceosomal RNA
Line_no:32:	https://rfam.org/family/RF01750#tabview=tab6
6OD9	A	ZMP/ZTP riboswitch
6OD9	B	ZMP/ZTP riboswitch
4ZNP	B	ZMP/ZTP riboswitch
4ZNP	A	ZMP/ZTP riboswitch
4XWF	A	ZMP/ZTP riboswitch
5BTP	B	ZMP/ZTP riboswitch
6WZR	B	ZMP/ZTP riboswitch
4XW7	A	ZMP/ZTP riboswitch
6WZS	A	ZMP/ZTP riboswitch
6WZR	A	ZMP/ZTP riboswitch
5BTP	A	ZMP/ZTP riboswitch
6WZS	B	ZMP/ZTP riboswitch
Line_no:33:	https://rfam.org/family/RF03013#tabview=tab6
7D7V	A	nadA RNA
6TF0	A	nadA RNA
7D7W	A	nadA RNA
6TB7	A	nadA RNA
7D7X	A	nadA RNA
7D7Y	A	nadA RNA
6TF3	A	nadA RNA
6TFH	A	nadA RNA
7D7Z	A	nadA RNA
6TF2	A	nadA RNA
6TF1	A	nadA RNA
7D81	A	nadA RNA
6TFE	A	nadA RNA
6TFF	A	nadA RNA
7D82	A	nadA RNA
6TFG	A	nadA RNA
Line_no:34:	https://rfam.org/family/RF00020#tabview=tab6
6J6H	D	U5 spliceosomal RNA
5Z57	B	U5 spliceosomal RNA
5GAP	U	U5 spliceosomal RNA
3JCR	H	U5 spliceosomal RNA
5YZG	B	U5 spliceosomal RNA
5MQF	5	U5 spliceosomal RNA
6FF4	5	U5 spliceosomal RNA
7A5P	5	U5 spliceosomal RNA
5Z58	B	U5 spliceosomal RNA
5ZWO	B	U5 spliceosomal RNA
7ABG	5	U5 spliceosomal RNA
5WSG	D	U5 spliceosomal RNA
7DVQ	B	U5 spliceosomal RNA
7W5A	B	U5 spliceosomal RNA
5Z56	B	U5 spliceosomal RNA
6EXN	5	U5 spliceosomal RNA
5LJ3	U	U5 spliceosomal RNA
7W5B	B	U5 spliceosomal RNA
7DCO	B	U5 spliceosomal RNA
3JCM	F	U5 spliceosomal RNA
6J6G	D	U5 spliceosomal RNA
5LQW	5	U5 spliceosomal RNA
5NRL	5	U5 spliceosomal RNA
7AAV	5	U5 spliceosomal RNA
7B9V	5	U5 spliceosomal RNA
6FF7	5	U5 spliceosomal RNA
7W59	B	U5 spliceosomal RNA
5XJC	B	U5 spliceosomal RNA
6QX9	5	U5 spliceosomal RNA
5YLZ	B	U5 spliceosomal RNA
6ID1	B	U5 spliceosomal RNA
6AHD	B	U5 spliceosomal RNA
5GAN	U	U5 spliceosomal RNA
5GM6	D	U5 spliceosomal RNA
6ICZ	B	U5 spliceosomal RNA
6QDV	5	U5 spliceosomal RNA
5MQ0	5	U5 spliceosomal RNA
5O9Z	5	U5 spliceosomal RNA
6ZYM	5	U5 spliceosomal RNA
5Y88	B	U5 spliceosomal RNA
3JB9	C	U5 spliceosomal RNA
6J6Q	D	U5 spliceosomal RNA
5MPS	5	U5 spliceosomal RNA
7ABF	5	U5 spliceosomal RNA
6BK8	5	U5 spliceosomal RNA
6QW6	5	U5 spliceosomal RNA
6ID0	B	U5 spliceosomal RNA
7ABI	5	U5 spliceosomal RNA
5GMK	D	U5 spliceosomal RNA
5LJ5	U	U5 spliceosomal RNA
6J6N	D	U5 spliceosomal RNA
6AH0	B	U5 spliceosomal RNA
5GAM	U	U5 spliceosomal RNA
5ZWM	B	U5 spliceosomal RNA
Line_no:35:	https://rfam.org/family/RF00015#tabview=tab6
6QX9	4	U4 spliceosomal RNA
5NRL	4	U4 spliceosomal RNA
5GAP	V	U4 spliceosomal RNA
5ZWO	I	U4 spliceosomal RNA
2N7M	X	U4 spliceosomal RNA
6AHD	I	U4 spliceosomal RNA
6AH0	I	U4 spliceosomal RNA
6QW6	4	U4 spliceosomal RNA
5ZWM	I	U4 spliceosomal RNA
5GAN	V	U4 spliceosomal RNA
5O9Z	4	U4 spliceosomal RNA
3JCM	E	U4 spliceosomal RNA
3JCR	M	U4 spliceosomal RNA
Line_no:36:	https://rfam.org/family/RF00380#tabview=tab6
3PDR	X	M-box riboswitch (ykoK leader)
2QBZ	X	M-box riboswitch (ykoK leader)
3PDR	A	M-box riboswitch (ykoK leader)
Line_no:37:	https://rfam.org/family/RF01051#tabview=tab6
3IWN	B	Cyclic di-GMP-I riboswitch
3MUT	R	Cyclic di-GMP-I riboswitch
4YB1	R	Cyclic di-GMP-I riboswitch
4YAZ	A	Cyclic di-GMP-I riboswitch
4YB0	R	Cyclic di-GMP-I riboswitch
3IRW	R	Cyclic di-GMP-I riboswitch
3MUV	R	Cyclic di-GMP-I riboswitch
3MXH	R	Cyclic di-GMP-I riboswitch
3UD3	R	Cyclic di-GMP-I riboswitch
3MUM	R	Cyclic di-GMP-I riboswitch
3UCU	R	Cyclic di-GMP-I riboswitch
4YAZ	R	Cyclic di-GMP-I riboswitch
3IWN	A	Cyclic di-GMP-I riboswitch
4YB0	A	Cyclic di-GMP-I riboswitch
3UD4	R	Cyclic di-GMP-I riboswitch
3MUR	R	Cyclic di-GMP-I riboswitch
3UCZ	R	Cyclic di-GMP-I riboswitch
Line_no:38:	https://rfam.org/family/RF02678#tabview=tab6
6JQ6	U	Hatchet ribozyme
6JQ5	A	Hatchet ribozyme
6JQ5	B	Hatchet ribozyme
Line_no:39:	https://rfam.org/family/RF00013#tabview=tab6
5VT0	R	6S / SsrS RNA
Line_no:40:	https://rfam.org/family/RF01689#tabview=tab6
4FRG	B	AdoCbl variant RNA
4FRN	A	AdoCbl variant RNA
4FRG	X	AdoCbl variant RNA
4FRN	B	AdoCbl variant RNA
Line_no:41:	https://rfam.org/family/RF00050#tabview=tab6
6WJS	X	FMN riboswitch (RFN element)
3F2W	X	FMN riboswitch (RFN element)
3F2Y	X	FMN riboswitch (RFN element)
3F2T	X	FMN riboswitch (RFN element)
3F2X	X	FMN riboswitch (RFN element)
3F30	X	FMN riboswitch (RFN element)
3F2Q	X	FMN riboswitch (RFN element)
6WJR	X	FMN riboswitch (RFN element)
Line_no:42:	https://rfam.org/family/RF00480#tabview=tab6
2L94	A	HIV Ribosomal frameshift signal
6VWL	4	HIV Ribosomal frameshift signal
1Z2J	A	HIV Ribosomal frameshift signal
6VWN	4	HIV Ribosomal frameshift signal
6VWM	4	HIV Ribosomal frameshift signal
Line_no:43:	https://rfam.org/family/RF02033#tabview=tab6
8DMB	W	HNH endonuclease-associated RNA and ORF (HEARO) RNA
Line_no:44:	https://rfam.org/family/RF00167#tabview=tab6
2XNZ	A	Purine riboswitch
2EET	A	Purine riboswitch
5UZA	X	Purine riboswitch
2EEW	A	Purine riboswitch
5E54	A	Purine riboswitch
3RKF	B	Purine riboswitch
3RKF	C	Purine riboswitch
6UC7	B	Purine riboswitch
4XNR	X	Purine riboswitch
4LX5	A	Purine riboswitch
6VWT	A	Purine riboswitch
2EEV	A	Purine riboswitch
4FEN	B	Purine riboswitch
4TZY	X	Purine riboswitch
2EES	A	Purine riboswitch
5C7W	C	Purine riboswitch
6VWV	A	Purine riboswitch
3RKF	D	Purine riboswitch
6UBU	B	Purine riboswitch
2EEU	A	Purine riboswitch
2XO0	A	Purine riboswitch
3IVN	A	Purine riboswitch
3IVN	B	Purine riboswitch
6VWV	B	Purine riboswitch
2G9C	A	Purine riboswitch
3GOT	A	Purine riboswitch
5E54	B	Purine riboswitch
2B57	A	Purine riboswitch
6P2H	A	Purine riboswitch
5SWE	X	Purine riboswitch
5SWD	B	Purine riboswitch
6UC8	B	Purine riboswitch
4FEJ	B	Purine riboswitch
4FEO	B	Purine riboswitch
1Y26	X	Purine riboswitch
2XO1	A	Purine riboswitch
4FEP	B	Purine riboswitch
6UC9	B	Purine riboswitch
3FO4	A	Purine riboswitch
3G4M	A	Purine riboswitch
5SWD	A	Purine riboswitch
6VWT	B	Purine riboswitch
3LA5	A	Purine riboswitch
3GAO	A	Purine riboswitch
5C7U	B	Purine riboswitch
3DS7	B	Purine riboswitch
3FO6	A	Purine riboswitch
1Y27	X	Purine riboswitch
4LX6	A	Purine riboswitch
4FEL	B	Purine riboswitch
3RKF	A	Purine riboswitch
4TZX	X	Purine riboswitch
3GOG	A	Purine riboswitch
2XNW	A	Purine riboswitch
3DS7	A	Purine riboswitch
3GES	A	Purine riboswitch
4FE5	B	Purine riboswitch
3GER	A	Purine riboswitch
Line_no:45:	https://rfam.org/family/RF00375#tabview=tab6
6WB1	C	HIV primer binding site (PBS)
6WAZ	C	HIV primer binding site (PBS)
6WB0	C	HIV primer binding site (PBS)
6WB2	C	HIV primer binding site (PBS)
6B19	C	HIV primer binding site (PBS)
7LVA	A	HIV primer binding site (PBS)
Line_no:46:	https://rfam.org/family/RF00026#tabview=tab6
6AHD	F	U6 spliceosomal RNA
7W59	F	U6 spliceosomal RNA
5MQ0	6	U6 spliceosomal RNA
6J6G	E	U6 spliceosomal RNA
6ICZ	F	U6 spliceosomal RNA
5ZWM	F	U6 spliceosomal RNA
5LJ3	V	U6 spliceosomal RNA
6AH0	F	U6 spliceosomal RNA
6J6N	E	U6 spliceosomal RNA
5GAN	W	U6 spliceosomal RNA
6ID0	F	U6 spliceosomal RNA
5MPS	6	U6 spliceosomal RNA
5TF6	D	U6 spliceosomal RNA
3JCR	N	U6 spliceosomal RNA
5VSU	I	U6 spliceosomal RNA
5WSG	E	U6 spliceosomal RNA
6J6Q	E	U6 spliceosomal RNA
6ZYM	6	U6 spliceosomal RNA
5YZG	F	U6 spliceosomal RNA
6ID1	F	U6 spliceosomal RNA
5MQF	6	U6 spliceosomal RNA
5GM6	E	U6 spliceosomal RNA
5XJC	F	U6 spliceosomal RNA
5NRL	6	U6 spliceosomal RNA
5TF6	B	U6 spliceosomal RNA
6J6H	E	U6 spliceosomal RNA
6QDV	6	U6 spliceosomal RNA
6QX9	6	U6 spliceosomal RNA
2LKR	A	U6 spliceosomal RNA
7A5P	6	U6 spliceosomal RNA
5O9Z	6	U6 spliceosomal RNA
5LJ5	V	U6 spliceosomal RNA
7ABF	6	U6 spliceosomal RNA
5GMK	E	U6 spliceosomal RNA
4N0T	B	U6 spliceosomal RNA
6ASO	I	U6 spliceosomal RNA
3JB9	N	U6 spliceosomal RNA
6QW6	6	U6 spliceosomal RNA
6FF4	6	U6 spliceosomal RNA
7W5B	F	U6 spliceosomal RNA
7W5A	F	U6 spliceosomal RNA
5Z56	F	U6 spliceosomal RNA
5Y88	D	U6 spliceosomal RNA
7ABI	6	U6 spliceosomal RNA
7AAV	6	U6 spliceosomal RNA
7ABG	6	U6 spliceosomal RNA
7DCO	F	U6 spliceosomal RNA
3JCM	D	U6 spliceosomal RNA
5YLZ	D	U6 spliceosomal RNA
6EXN	6	U6 spliceosomal RNA
5LQW	6	U6 spliceosomal RNA
5ZWO	F	U6 spliceosomal RNA
6BK8	6	U6 spliceosomal RNA
6FF7	6	U6 spliceosomal RNA
5GAP	W	U6 spliceosomal RNA
5Z57	F	U6 spliceosomal RNA
5Z58	F	U6 spliceosomal RNA
7B9V	6	U6 spliceosomal RNA
Line_no:47:	https://rfam.org/family/RF01750#tabview=tab6
6OD9	A	ZMP/ZTP riboswitch
6OD9	B	ZMP/ZTP riboswitch
4ZNP	B	ZMP/ZTP riboswitch
4ZNP	A	ZMP/ZTP riboswitch
4XWF	A	ZMP/ZTP riboswitch
5BTP	B	ZMP/ZTP riboswitch
6WZR	B	ZMP/ZTP riboswitch
4XW7	A	ZMP/ZTP riboswitch
6WZS	A	ZMP/ZTP riboswitch
6WZR	A	ZMP/ZTP riboswitch
5BTP	A	ZMP/ZTP riboswitch
6WZS	B	ZMP/ZTP riboswitch
Line_no:48:	https://rfam.org/family/RF03013#tabview=tab6
7D7V	A	nadA RNA
6TF0	A	nadA RNA
7D7W	A	nadA RNA
6TB7	A	nadA RNA
7D7X	A	nadA RNA
7D7Y	A	nadA RNA
6TF3	A	nadA RNA
6TFH	A	nadA RNA
7D7Z	A	nadA RNA
6TF2	A	nadA RNA
6TF1	A	nadA RNA
7D81	A	nadA RNA
6TFE	A	nadA RNA
6TFF	A	nadA RNA
7D82	A	nadA RNA
6TFG	A	nadA RNA
Line_no:49:	https://rfam.org/family/RF00020#tabview=tab6
6J6H	D	U5 spliceosomal RNA
5Z57	B	U5 spliceosomal RNA
5GAP	U	U5 spliceosomal RNA
3JCR	H	U5 spliceosomal RNA
5YZG	B	U5 spliceosomal RNA
5MQF	5	U5 spliceosomal RNA
6FF4	5	U5 spliceosomal RNA
7A5P	5	U5 spliceosomal RNA
5Z58	B	U5 spliceosomal RNA
5ZWO	B	U5 spliceosomal RNA
7ABG	5	U5 spliceosomal RNA
5WSG	D	U5 spliceosomal RNA
7DVQ	B	U5 spliceosomal RNA
7W5A	B	U5 spliceosomal RNA
5Z56	B	U5 spliceosomal RNA
6EXN	5	U5 spliceosomal RNA
5LJ3	U	U5 spliceosomal RNA
7W5B	B	U5 spliceosomal RNA
7DCO	B	U5 spliceosomal RNA
3JCM	F	U5 spliceosomal RNA
6J6G	D	U5 spliceosomal RNA
5LQW	5	U5 spliceosomal RNA
5NRL	5	U5 spliceosomal RNA
7AAV	5	U5 spliceosomal RNA
7B9V	5	U5 spliceosomal RNA
6FF7	5	U5 spliceosomal RNA
7W59	B	U5 spliceosomal RNA
5XJC	B	U5 spliceosomal RNA
6QX9	5	U5 spliceosomal RNA
5YLZ	B	U5 spliceosomal RNA
6ID1	B	U5 spliceosomal RNA
6AHD	B	U5 spliceosomal RNA
5GAN	U	U5 spliceosomal RNA
5GM6	D	U5 spliceosomal RNA
6ICZ	B	U5 spliceosomal RNA
6QDV	5	U5 spliceosomal RNA
5MQ0	5	U5 spliceosomal RNA
5O9Z	5	U5 spliceosomal RNA
6ZYM	5	U5 spliceosomal RNA
5Y88	B	U5 spliceosomal RNA
3JB9	C	U5 spliceosomal RNA
6J6Q	D	U5 spliceosomal RNA
5MPS	5	U5 spliceosomal RNA
7ABF	5	U5 spliceosomal RNA
6BK8	5	U5 spliceosomal RNA
6QW6	5	U5 spliceosomal RNA
6ID0	B	U5 spliceosomal RNA
7ABI	5	U5 spliceosomal RNA
5GMK	D	U5 spliceosomal RNA
5LJ5	U	U5 spliceosomal RNA
6J6N	D	U5 spliceosomal RNA
6AH0	B	U5 spliceosomal RNA
5GAM	U	U5 spliceosomal RNA
5ZWM	B	U5 spliceosomal RNA
Line_no:50:	https://rfam.org/family/RF00015#tabview=tab6
6QX9	4	U4 spliceosomal RNA
5NRL	4	U4 spliceosomal RNA
5GAP	V	U4 spliceosomal RNA
5ZWO	I	U4 spliceosomal RNA
2N7M	X	U4 spliceosomal RNA
6AHD	I	U4 spliceosomal RNA
6AH0	I	U4 spliceosomal RNA
6QW6	4	U4 spliceosomal RNA
5ZWM	I	U4 spliceosomal RNA
5GAN	V	U4 spliceosomal RNA
5O9Z	4	U4 spliceosomal RNA
3JCM	E	U4 spliceosomal RNA
3JCR	M	U4 spliceosomal RNA
Line_no:51:	https://rfam.org/family/RF00380#tabview=tab6
3PDR	X	M-box riboswitch (ykoK leader)
2QBZ	X	M-box riboswitch (ykoK leader)
3PDR	A	M-box riboswitch (ykoK leader)
Line_no:52:	https://rfam.org/family/RF01051#tabview=tab6
3IWN	B	Cyclic di-GMP-I riboswitch
3MUT	R	Cyclic di-GMP-I riboswitch
4YB1	R	Cyclic di-GMP-I riboswitch
4YAZ	A	Cyclic di-GMP-I riboswitch
4YB0	R	Cyclic di-GMP-I riboswitch
3IRW	R	Cyclic di-GMP-I riboswitch
3MUV	R	Cyclic di-GMP-I riboswitch
3MXH	R	Cyclic di-GMP-I riboswitch
3UD3	R	Cyclic di-GMP-I riboswitch
3MUM	R	Cyclic di-GMP-I riboswitch
3UCU	R	Cyclic di-GMP-I riboswitch
4YAZ	R	Cyclic di-GMP-I riboswitch
3IWN	A	Cyclic di-GMP-I riboswitch
4YB0	A	Cyclic di-GMP-I riboswitch
3UD4	R	Cyclic di-GMP-I riboswitch
3MUR	R	Cyclic di-GMP-I riboswitch
3UCZ	R	Cyclic di-GMP-I riboswitch
Line_no:53:	https://rfam.org/family/RF02678#tabview=tab6
6JQ6	U	Hatchet ribozyme
6JQ5	A	Hatchet ribozyme
6JQ5	B	Hatchet ribozyme
Line_no:54:	https://rfam.org/family/RF00013#tabview=tab6
5VT0	R	6S / SsrS RNA
Line_no:55:	https://rfam.org/family/RF01689#tabview=tab6
4FRG	B	AdoCbl variant RNA
4FRN	A	AdoCbl variant RNA
4FRG	X	AdoCbl variant RNA
4FRN	B	AdoCbl variant RNA
Line_no:56:	https://rfam.org/family/RF00050#tabview=tab6
6WJS	X	FMN riboswitch (RFN element)
3F2W	X	FMN riboswitch (RFN element)
3F2Y	X	FMN riboswitch (RFN element)
3F2T	X	FMN riboswitch (RFN element)
3F2X	X	FMN riboswitch (RFN element)
3F30	X	FMN riboswitch (RFN element)
3F2Q	X	FMN riboswitch (RFN element)
6WJR	X	FMN riboswitch (RFN element)
Line_no:57:	https://rfam.org/family/RF00480#tabview=tab6
2L94	A	HIV Ribosomal frameshift signal
6VWL	4	HIV Ribosomal frameshift signal
1Z2J	A	HIV Ribosomal frameshift signal
6VWN	4	HIV Ribosomal frameshift signal
6VWM	4	HIV Ribosomal frameshift signal
Line_no:58:	https://rfam.org/family/RF02033#tabview=tab6
8DMB	W	HNH endonuclease-associated RNA and ORF (HEARO) RNA
Line_no:59:	https://rfam.org/family/RF00167#tabview=tab6
2XNZ	A	Purine riboswitch
2EET	A	Purine riboswitch
5UZA	X	Purine riboswitch
2EEW	A	Purine riboswitch
5E54	A	Purine riboswitch
3RKF	B	Purine riboswitch
3RKF	C	Purine riboswitch
6UC7	B	Purine riboswitch
4XNR	X	Purine riboswitch
4LX5	A	Purine riboswitch
6VWT	A	Purine riboswitch
2EEV	A	Purine riboswitch
4FEN	B	Purine riboswitch
4TZY	X	Purine riboswitch
2EES	A	Purine riboswitch
5C7W	C	Purine riboswitch
6VWV	A	Purine riboswitch
3RKF	D	Purine riboswitch
6UBU	B	Purine riboswitch
2EEU	A	Purine riboswitch
2XO0	A	Purine riboswitch
3IVN	A	Purine riboswitch
3IVN	B	Purine riboswitch
6VWV	B	Purine riboswitch
2G9C	A	Purine riboswitch
3GOT	A	Purine riboswitch
5E54	B	Purine riboswitch
2B57	A	Purine riboswitch
6P2H	A	Purine riboswitch
5SWE	X	Purine riboswitch
5SWD	B	Purine riboswitch
6UC8	B	Purine riboswitch
4FEJ	B	Purine riboswitch
4FEO	B	Purine riboswitch
1Y26	X	Purine riboswitch
2XO1	A	Purine riboswitch
4FEP	B	Purine riboswitch
6UC9	B	Purine riboswitch
3FO4	A	Purine riboswitch
3G4M	A	Purine riboswitch
5SWD	A	Purine riboswitch
6VWT	B	Purine riboswitch
3LA5	A	Purine riboswitch
3GAO	A	Purine riboswitch
5C7U	B	Purine riboswitch
3DS7	B	Purine riboswitch
3FO6	A	Purine riboswitch
1Y27	X	Purine riboswitch
4LX6	A	Purine riboswitch
4FEL	B	Purine riboswitch
3RKF	A	Purine riboswitch
4TZX	X	Purine riboswitch
3GOG	A	Purine riboswitch
2XNW	A	Purine riboswitch
3DS7	A	Purine riboswitch
3GES	A	Purine riboswitch
4FE5	B	Purine riboswitch
3GER	A	Purine riboswitch
Line_no:60:	https://rfam.org/family/RF00375#tabview=tab6
6WB1	C	HIV primer binding site (PBS)
6WAZ	C	HIV primer binding site (PBS)
6WB0	C	HIV primer binding site (PBS)
6WB2	C	HIV primer binding site (PBS)
6B19	C	HIV primer binding site (PBS)
7LVA	A	HIV primer binding site (PBS)
Line_no:61:	https://rfam.org/family/RF00026#tabview=tab6
6AHD	F	U6 spliceosomal RNA
7W59	F	U6 spliceosomal RNA
5MQ0	6	U6 spliceosomal RNA
6J6G	E	U6 spliceosomal RNA
6ICZ	F	U6 spliceosomal RNA
5ZWM	F	U6 spliceosomal RNA
5LJ3	V	U6 spliceosomal RNA
6AH0	F	U6 spliceosomal RNA
6J6N	E	U6 spliceosomal RNA
5GAN	W	U6 spliceosomal RNA
6ID0	F	U6 spliceosomal RNA
5MPS	6	U6 spliceosomal RNA
5TF6	D	U6 spliceosomal RNA
3JCR	N	U6 spliceosomal RNA
5VSU	I	U6 spliceosomal RNA
5WSG	E	U6 spliceosomal RNA
6J6Q	E	U6 spliceosomal RNA
6ZYM	6	U6 spliceosomal RNA
5YZG	F	U6 spliceosomal RNA
6ID1	F	U6 spliceosomal RNA
5MQF	6	U6 spliceosomal RNA
